institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Toccoa Falls College,0,2019,2019-0,1716,27454,50483,49810
Truett McConnell University,0,2019,2019-0,2564,43595,302347,302347
Valdosta State University,0,2019,2019-0,2985,44768,524204,524204
University of West Georgia,0,2019,2019-0,6309,100949,600543,600543
Young Harris College,0,2019,2019-0,4285,59988,596763,596763
Chaminade University of Honolulu,0,2019,2019-0,6566,105059,697219,697219
University of Hawaii at Hilo,0,2019,2019-0,7289,123911,538809,538809
University of Hawaii at Manoa,1218,2019,2019-1218,29658,444870,2718051,2718051
Hawaii Pacific University,0,2019,2019-0,8915,142634,752161,752161
Boise State University,1129,2019,2019-1129,43676,655135,4184145,2649924
Idaho State University,0,2019,2019-0,18424,350060,1298448,1298448
University of Idaho,0,2019,2019-0,30319,485103,1716084,1716084
The College of Idaho,0,2019,2019-0,3602,50427,305584,305584
Lewis-Clark State College,0,2019,2019-0,4228,63422,390352,390352
North Idaho College,0,2019,2019-0,3879,54306,215573,215573
Northwest Nazarene University,0,2019,2019-0,7580,113702,650194,650194
College of Southern Idaho,0,2019,2019-0,8511,136170,645108,645108
Augustana College,0,2019,2019-0,4063,89386,325441,325441
Aurora University,0,2019,2019-0,1166,44326,193329,187953
Southwestern Illinois College,0,2019,2019-0,2138,32075,238096,238096
Black Hawk College,0,2019,2019-0,1359,16306,70957,70957
Blackburn College,0,2019,2019-0,1299,25983,93682,93682
Bradley University,1133,2019,2019-1133,28277,395879,3555837,3555837
Carl Sandburg College,0,2019,2019-0,1364,21825,66308,62948
Chicago State University,0,2019,2019-0,15134,227011,1192542,919075
University of Chicago,0,2019,2019-0,5753,97809,273725,273725
City Colleges of Chicago-Kennedy-King College,0,2019,2019-0,2721,35374,86872,86872
City Colleges of Chicago-Malcolm X College,0,2019,2019-0,2020,20203,65061,65061
City Colleges of Chicago-Olive-Harvey College,0,2019,2019-0,1339,21425,73129,73129
City Colleges of Chicago-Harry S Truman College,0,2019,2019-0,1160,18560,75669,75669
City Colleges of Chicago-Richard J Daley College,0,2019,2019-0,2038,16300,64898,64898
City Colleges of Chicago-Wilbur Wright College,0,2019,2019-0,1494,14942,78713,78713
Concordia University-Chicago,0,2019,2019-0,1331,38585,157397,146708
Danville Area Community College,0,2019,2019-0,2246,26952,169361,168828
DePaul University,1177,2019,2019-1177,68397,1299536,7080194,7080194
College of DuPage,0,2019,2019-0,1829,25600,54134,54134
Eastern Illinois University,0,2019,2019-0,17553,263297,1175351,1175351
Elgin Community College,0,2019,2019-0,1359,21743,54746,54746
Elmhurst College,0,2019,2019-0,1519,41005,223207,223207
Eureka College,0,2019,2019-0,1807,39750,88073,88073
Governors State University,0,2019,2019-0,4329,77926,222907,218503
Greenville University,0,2019,2019-0,938,30943,186100,124992
Highland Community College,0,2019,2019-0,3437,54987,220274,168915
University of Illinois at Chicago,1227,2019,2019-1227,40704,529155,2335671,2335671
Benedictine University,0,2019,2019-0,1692,88000,455304,413413
University of Illinois at Urbana-Champaign,1228,2019,2019-1228,85858,1373727,25130930,10703916
Illinois Wesleyan University,0,2019,2019-0,2784,75160,183730,183730
Illinois Central College,0,2019,2019-0,1964,27498,121601,121601
Illinois College,0,2019,2019-0,1394,30670,105240,105240
Olney Central College,0,2019,2019-0,2209,30925,186520,186520
Illinois Institute of Technology,0,2019,2019-0,4047,56663,152329,152329
Illinois State University,0,2019,2019-0,34891,453587,2209131,2209131
Illinois Valley Community College,0,2019,2019-0,1127,14647,65158,59501
John A Logan College,0,2019,2019-0,4488,53855,242121,242121
John Wood Community College,0,2019,2019-0,2280,31920,108416,109660
Joliet Junior College,0,2019,2019-0,2012,28165,48337,46130
Judson University,0,2019,2019-0,899,24272,303993,303993
Kankakee Community College,0,2019,2019-0,1372,20585,120988,120988
Kaskaskia College,0,2019,2019-0,1306,18284,168669,168669
Kishwaukee College,0,2019,2019-0,941,14116,51026,34301
Knox College,0,2019,2019-0,2398,47968,146371,146371
College of Lake County,0,2019,2019-0,1368,20524,56560,56460
Lake Forest College,0,2019,2019-0,2120,27566,128701,128701
Lake Land College,0,2019,2019-0,1468,24963,163584,162608
Lewis and Clark Community College,0,2019,2019-0,3446,51690,184695,184319
Lewis University,0,2019,2019-0,6874,103110,654943,654943
Lincoln Christian University,0,2019,2019-0,1717,29189,83754,78618
Lincoln College,0,2019,2019-0,2148,32226,211051,211051
Lincoln Land Community College,0,2019,2019-0,1266,20250,99959,99908
Loyola University Chicago,1260,2019,2019-1260,67300,1144093,6194444,6194444
MacMurray College,0,2019,2019-0,1504,30084,93091,93091
McHenry County College,0,2019,2019-0,1396,16753,51667,51667
McKendree University,0,2019,2019-0,5387,80805,788871,780259
Millikin University,0,2019,2019-0,3706,70408,248702,246323
Monmouth College,0,2019,2019-0,963,17327,76938,76938
Moody Bible Institute,0,2019,2019-0,1239,16111,87512,87512
Moraine Valley Community College,0,2019,2019-0,1324,18537,62661,62661
Morton College,0,2019,2019-0,1188,16625,56144,56144
North Central College,0,2019,2019-0,3128,68815,309233,280510
North Park University,0,2019,2019-0,1517,42485,212655,212655
Northern Illinois University,0,2019,2019-0,29543,472680,1903995,1903995
Northwestern University,1321,2019,2019-1321,97231,1361231,19562252,9049494
Oakton Community College,0,2019,2019-0,1454,14544,45388,45388
Olivet Nazarene University,0,2019,2019-0,4286,60000,525199,432952
Parkland College,0,2019,2019-0,1957,29349,97129,97129
Prairie State College,0,2019,2019-0,776,9315,46832,46832
Quincy University,0,2019,2019-0,3461,103823,593250,601494
Rend Lake College,0,2019,2019-0,1113,15578,154298,135953
Robert Morris University Illinois,0,2019,2019-0,798,98138,977483,977413
Rock Valley College,0,2019,2019-0,2151,25812,36728,36728
Rockford University,0,2019,2019-0,1579,34743,160936,160936
Roosevelt University,0,2019,2019-0,4654,60496,237267,237267
Dominican University,0,2019,2019-0,1841,34984,139480,139480
University of St Francis,0,2019,2019-0,2288,45767,464316,458765
Saint Xavier University,0,2019,2019-0,2295,43612,397465,397465
University of Illinois at Springfield,0,2019,2019-0,3557,53354,403786,403786
Sauk Valley Community College,0,2019,2019-0,1811,25348,74281,69470
Shawnee Community College,0,2019,2019-0,1380,20702,99408,99408
Southeastern Illinois College,0,2019,2019-0,1346,22880,73906,73906
Southern Illinois University-Carbondale,0,2019,2019-0,38236,497066,2127894,2127894
Southern Illinois University-Edwardsville,0,2019,2019-0,19352,251577,1409424,1271688
South Suburban College,0,2019,2019-0,2936,46983,150432,150432
Trinity Christian College,0,2019,2019-0,1579,34728,331094,319439
Trinity International University-Illinois,0,2019,2019-0,3690,55346,554973,467839
Triton College,0,2019,2019-0,966,15450,69300,67934
Waubonsee Community College,0,2019,2019-0,1517,22762,42500,42500
Western Illinois University,0,2019,2019-0,21463,321951,1212286,1212286
Wheaton College,0,2019,2019-0,3454,65623,291366,291366
William Rainey Harper College,0,2019,2019-0,596,8938,20638,20638
Ancilla College,0,2019,2019-0,923,27678,165133,165133
Anderson University,0,2019,2019-0,2763,46975,173466,170991
Ball State University,0,2019,2019-0,36382,582119,1994305,1994305
Bethel College-Indiana,0,2019,2019-0,7193,107901,443783,443466
Butler University,1139,2019,2019-1139,101583,1218992,7510164,5507238
Calumet College of Saint Joseph,0,2019,2019-0,2747,32965,163205,163205
DePauw University,0,2019,2019-0,3089,67949,296488,296488
Earlham College,0,2019,2019-0,3073,58393,184489,184489
University of Evansville,0,2019,2019-0,53511,642130,3231007,3231007
Franklin College,0,2019,2019-0,2973,50537,159162,158085
Goshen College,0,2019,2019-0,1839,42287,370477,370477
Grace College and Theological Seminary,0,2019,2019-0,4027,52352,291801,291801
Hanover College,0,2019,2019-0,2733,49189,246695,223851
Holy Cross College,0,2019,2019-0,3041,39533,264941,264941
Huntington University,0,2019,2019-0,3742,48645,594705,320161
Indiana University-Purdue University-Fort Wayne,0,2019,2019-0,32022,448314,1545947,1545947
Indiana University-Purdue University-Indianapolis,1237,2019,2019-1237,20632,350743,1614116,1614116
University of Indianapolis,0,2019,2019-0,7637,129825,823114,823114
Indiana Institute of Technology,0,2019,2019-0,1947,60355,506383,505090
University of Southern Indiana,0,2019,2019-0,6219,93287,701069,697272
Indiana State University,1232,2019,2019-1232,33503,502549,2055794,2055794
Indiana University-Kokomo,0,2019,2019-0,3020,60391,166274,166274
Indiana University-South Bend,0,2019,2019-0,3499,48980,169677,198364
Indiana University-Bloomington,1231,2019,2019-1231,140325,2525852,25086839,13693497
Indiana University-Northwest,0,2019,2019-0,1811,28981,88686,88686
Indiana University-Southeast,0,2019,2019-0,3606,54091,183654,183654
Indiana University-East,0,2019,2019-0,2892,46267,297354,297354
Manchester University,0,2019,2019-0,2119,42378,117703,114672
Marian University,0,2019,2019-0,10755,129056,593156,593156
Indiana Wesleyan University-Marion,0,2019,2019-0,8113,105475,810865,493204
University of Notre Dame,1323,2019,2019-1323,140007,1820087,3577881,6876483
Oakland City University,0,2019,2019-0,2616,34003,193513,177486
Rose-Hulman Institute of Technology,0,2019,2019-0,1731,38078,173180,151770
University of Saint Francis-Fort Wayne,0,2019,2019-0,3303,99102,822220,822220
Saint Mary-of-the-Woods College,0,2019,2019-0,0,0,,
Taylor University,0,2019,2019-0,3504,49060,459188,436648
Trine University,0,2019,2019-0,2220,57726,278811,240984
Valparaiso University,1434,2019,2019-1434,55285,718707,2559150,2693562
Vincennes University,0,2019,2019-0,4121,74182,644062,644062
Briar Cliff University,0,2019,2019-0,1205,31320,397049,397049
Buena Vista University,0,2019,2019-0,1924,40411,207846,196158
Central College,0,2019,2019-0,1224,31835,172214,172214
Clarke University,0,2019,2019-0,2917,72923,370078,370078
Coe College,0,2019,2019-0,1292,24539,172041,172041
Cornell College,0,2019,2019-0,1480,32570,136701,136701
Des Moines Area Community College,0,2019,2019-0,3238,51815,132763,132763
Dordt College,0,2019,2019-0,2138,59868,436271,436271
Drake University,1179,2019,2019-1179,58005,754067,2488067,2696222
University of Dubuque,0,2019,2019-0,879,27245,235573,235573
Ellsworth Community College,0,2019,2019-0,575,13234,74733,74733
Emmaus Bible College,0,2019,2019-0,1838,23898,44860,44860
Faith Baptist Bible College and Theological Seminary,0,2019,2019-0,1871,20583,39860,39860
Graceland University-Lamoni,0,2019,2019-0,2004,82157,491310,491310
Grand View University,0,2019,2019-0,1927,65528,486455,486455
Grinnell College,0,2019,2019-0,1991,47773,164664,164664
Indian Hills Community College,0,2019,2019-0,10063,140880,441197,441197
Iowa Central Community College,0,2019,2019-0,2125,36120,124498,124498
Iowa Lakes Community College,0,2019,2019-0,3072,43004,168968,168968
Iowa State University,1235,2019,2019-1235,106859,1389168,13956343,6851315
Iowa Wesleyan University,0,2019,2019-0,2012,42246,96866,96866
Iowa Western Community College,0,2019,2019-0,3341,53462,403535,403535
University of Iowa,1234,2019,2019-1234,135988,2311803,10828407,8113263
Kirkwood Community College,0,2019,2019-0,2309,34639,191184,179355
Loras College,0,2019,2019-0,1408,54913,251785,251785
Luther College,0,2019,2019-0,1574,37784,187603,170645
Marshalltown Community College,0,2019,2019-0,2210,37563,254808,254808
Morningside College,0,2019,2019-0,1481,41455,407634,396416
Mount Mercy University,0,2019,2019-0,2024,78955,321264,321264
North Iowa Area Community College,0,2019,2019-0,2934,55741,167159,146764
University of Northern Iowa,1320,2019,2019-1320,27133,488401,3024333,3024333
Northwestern College,0,2019,2019-0,1271,39414,579590,579590
Saint Ambrose University,0,2019,2019-0,1398,65729,330135,330135
Simpson College,0,2019,2019-0,1975,57267,192309,192309
Southeastern Community College,0,2019,2019-0,5647,84712,434616,426778
Southwestern Community College,0,2019,2019-0,1599,33587,110659,110659
Upper Iowa University,0,2019,2019-0,5692,79686,577016,524310
Waldorf University,0,2019,2019-0,2888,60649,340478,340478
Wartburg College,0,2019,2019-0,2242,51569,175304,175304
William Penn University,0,2019,2019-0,3798,64563,651631,651631
Allen County Community College,0,2019,2019-0,2269,36306,111922,111922
Baker University,0,2019,2019-0,2635,39532,412073,409421
Barton County Community College,0,2019,2019-0,1552,26383,221412,221412
Benedictine College,0,2019,2019-0,2162,36758,631803,631803
Bethany College,0,2019,2019-0,644,27032,980258,980258
Bethel College-North Newton,0,2019,2019-0,1027,23615,317591,317932
Butler Community College,0,2019,2019-0,1576,20490,256836,246931
Central Christian College of Kansas,0,2019,2019-0,1084,32532,343788,314963
Cloud County Community College,0,2019,2019-0,1989,27851,186023,180384
Coffeyville Community College,0,2019,2019-0,3545,53172,233260,230870
Colby Community College,0,2019,2019-0,2805,47689,170715,150581
Cowley County Community College,0,2019,2019-0,3147,53501,231047,231047
Dodge City Community College,0,2019,2019-0,2146,32194,186738,169337
Emporia State University,0,2019,2019-0,7180,107705,515585,515585
Fort Hays State University,0,2019,2019-0,16098,209270,538138,584307
Barclay College,0,2019,2019-0,1138,19340,28524,28524
Friends University,0,2019,2019-0,1450,39154,346440,316712
Fort Scott Community College,0,2019,2019-0,1845,29514,152944,151592
Garden City Community College,0,2019,2019-0,3215,48218,241734,241734
Haskell Indian Nations University,0,2019,2019-0,1356,17627,79000,71672
Hesston College,0,2019,2019-0,2397,38350,190003,189774
Highland Community College,0,2019,2019-0,2744,41158,85564,169607
Hutchinson Community College,0,2019,2019-0,5305,74270,429911,429911
Independence Community College,0,2019,2019-0,1593,25484,159033,159033
Johnson County Community College,0,2019,2019-0,4208,46291,226103,226103
Kansas City Kansas Community College,0,2019,2019-0,3715,52006,199781,199781
Kansas Christian College,0,2019,2019-0,1143,40000,68000,65000
University of Kansas,1242,2019,2019-1242,240111,3361551,18802173,11859953
Newman University,0,2019,2019-0,3963,75290,563686,563686
Kansas State University,1243,2019,2019-1243,105436,1897842,9083722,7591505
Kansas Wesleyan University,0,2019,2019-0,877,35061,422774,422774
Labette Community College,0,2019,2019-0,2401,33614,159156,158010
Manhattan Christian College,0,2019,2019-0,1201,20418,41754,41854
McPherson College,0,2019,2019-0,2583,72312,286662,286662
MidAmerica Nazarene University,0,2019,2019-0,1889,30226,446235,446235
Neosho County Community College,0,2019,2019-0,1119,33570,151831,148995
Northwest Kansas Technical College,0,2019,2019-0,687,32978,203442,203442
Ottawa University-Ottawa,0,2019,2019-0,899,35968,624083,609732
Pittsburg State University,0,2019,2019-0,13224,238035,788551,788551
Pratt Community College,0,2019,2019-0,2395,33535,138573,126019
University of Saint Mary,0,2019,2019-0,991,20806,220581,220581
Seward County Community College,0,2019,2019-0,1991,35838,204392,204392
Southwestern College,0,2019,2019-0,1642,57476,402312,371667
Sterling College,0,2019,2019-0,1217,45014,494113,483983
Tabor College,0,2019,2019-0,1707,46097,379407,379407
Washburn University,0,2019,2019-0,6892,117163,684776,684776
Wichita State University,1455,2019,2019-1455,86013,1462219,8106217,7513193
Alice Lloyd College,0,2019,2019-0,1518,24281,92388,86538
Asbury University,0,2019,2019-0,1662,33248,331430,331430
Bellarmine University,0,2019,2019-0,15385,215391,1212484,1212484
Berea College,0,2019,2019-0,3584,46597,162357,162357
Brescia University,0,2019,2019-0,1691,35515,328532,328532
Campbellsville University,0,2019,2019-0,1770,77872,585577,569586
Centre College,0,2019,2019-0,3835,57532,158236,158236
University of the Cumberlands,0,2019,2019-0,5502,77034,556593,556593
Eastern Kentucky University,1184,2019,2019-1184,16030,240455,1589230,1589230
Georgetown College,1207,2019,2019-1207,3012,48199,748940,748940
Kentucky State University,0,2019,2019-0,4446,66688,389479,389479
Kentucky Wesleyan College,0,2019,2019-0,7117,106758,592900,592900
University of Kentucky,1246,2019,2019-1246,180542,2527593,30743306,18571056
Kentucky Christian University,0,2019,2019-0,2532,45573,61626,61626
Lindsey Wilson College,0,2019,2019-0,1833,67809,590659,590659
University of Louisville,1257,2019,2019-1257,198944,2984166,43134625,21817723
Midway University,0,2019,2019-0,779,29615,253685,253685
Morehead State University,1287,2019,2019-1287,18195,254729,1271859,1271859
Murray State University,1293,2019,2019-1293,23262,302403,2245249,2123603
Northern Kentucky University,1297,2019,2019-1297,41157,576202,1965242,1965242
University of Pikeville,0,2019,2019-0,6687,227356,703692,703692
Spalding University,0,2019,2019-0,2530,48079,85896,85896
Thomas More College,0,2019,2019-0,1581,50602,189315,150630
Transylvania University,0,2019,2019-0,4205,84097,315702,315702
Union College,0,2019,2019-0,2732,35510,300765,300765
Western Kentucky University,1443,2019,2019-1443,49090,834530,2976173,2976173
Bossier Parish Community College,0,2019,2019-0,2777,33325,211412,211412
Centenary College of Louisiana,0,2019,2019-0,2326,44196,114962,114962
Delgado Community College,0,2019,2019-0,2235,40229,155534,155534
Dillard University,0,2019,2019-0,7342,102781,466205,466205
Grambling State University,0,2019,2019-0,17799,231387,829657,829657
Louisiana State University-Alexandria,0,2019,2019-0,2475,71783,273400,273400
Louisiana State University and Agricultural & Mechanical College,1261,2019,2019-1261,90495,1357432,8911799,8618878
Louisiana State University-Eunice,0,2019,2019-0,0,0,,
Louisiana State University-Shreveport,0,2019,2019-0,4134,53741,194141,194141
Louisiana College,0,2019,2019-0,4039,80770,200877,200877
Louisiana Tech University,0,2019,2019-0,33367,467141,2453633,2378057
Loyola University New Orleans,0,2019,2019-0,4344,73853,662488,658869
McNeese State University,1270,2019,2019-1270,12986,207783,1050592,1056231
University of New Orleans,1309,2019,2019-1309,16623,249342,951785,951785
Nicholls State University,0,2019,2019-0,17602,246431,849161,831561
University of Louisiana at Monroe,0,2019,2019-0,15206,228086,1349628,1349628
Northwestern State University of Louisiana,1322,2019,2019-1322,7164,214907,1171687,1171687
Southeastern Louisiana University,1368,2019,2019-1368,12841,205457,1081185,1081185
Southern University and A & M College,1380,2019,2019-1380,11376,227513,475243,776243
Southern University at New Orleans,0,2019,2019-0,2860,48612,159677,159677
Southern University at Shreveport,0,2019,2019-0,2422,36326,161165,161165
University of Louisiana at Lafayette,1418,2019,2019-1418,43355,650318,2717629,2717628
Tulane University of Louisiana,0,2019,2019-0,61998,1115959,4366624,4366624
Xavier University of Louisiana,0,2019,2019-0,5264,84228,677446,677446
Bates College,0,2019,2019-0,3361,57133,317620,283049
Bowdoin College,0,2019,2019-0,5471,76588,245831,230423
Central Maine Community College,0,2019,2019-0,1820,36400,53193,48783
Colby College,0,2019,2019-0,2810,44959,231331,231331
University of Maine at Augusta,0,2019,2019-0,1966,29483,55529,55529
University of Maine at Farmington,0,2019,2019-0,1545,23175,89361,89361
University of Maine at Fort Kent,0,2019,2019-0,2903,34839,103529,103529
University of Maine at Machias,0,2019,2019-0,1448,24616,51785,51785
University of Maine,0,2019,2019-0,20463,347873,1335678,1335678
Maine Maritime Academy,0,2019,2019-0,5564,61202,107303,107303
University of Maine at Presque Isle,0,2019,2019-0,2458,29499,79594,79594
University of New England,0,2019,2019-0,1578,31564,200377,189755
Saint Joseph's College of Maine,0,2019,2019-0,2390,33459,96008,89657
Southern Maine Community College,0,2019,2019-0,2142,32125,38280,38280
University of Southern Maine,0,2019,2019-0,2515,42760,129413,139276
Thomas College,0,2019,2019-0,1702,35739,116524,109839
Unity College,0,2019,2019-0,968,9675,14786,14786
Allegany College of Maryland,0,2019,2019-0,770,13867,29858,29858
Anne Arundel Community College,0,2019,2019-0,1007,9061,19804,20764
Baltimore City Community College,0,2019,2019-0,6247,87463,199317,199317
Bowie State University,0,2019,2019-0,10991,153870,565954,543253
Cecil College,0,2019,2019-0,2162,30265,65130,65130
College of Southern Maryland,0,2019,2019-0,1819,23644,61114,61114
Chesapeake College,0,2019,2019-0,2102,21018,35458,35458
Washington Adventist University,0,2019,2019-0,4100,45104,138104,135504
Coppin State University,1164,2019,2019-1164,13386,200794,755952,755952
Frederick Community College,0,2019,2019-0,1511,22667,29817,36384
Frostburg State University,0,2019,2019-0,1758,28135,177039,177039
Garrett College,0,2019,2019-0,3327,39924,91796,91796
Goucher College,0,2019,2019-0,3334,46677,176019,157310
Hagerstown Community College,0,2019,2019-0,1528,22916,57042,51216
Harford Community College,0,2019,2019-0,2500,34993,77135,66745
Hood College,0,2019,2019-0,2100,33600,135593,135593
Howard Community College,0,2019,2019-0,1588,27001,42952,42952
Johns Hopkins University,0,2019,2019-0,4672,65404,437551,297708
Loyola University Maryland,1259,2019,2019-1259,23531,376496,2275922,2275922
University of Maryland-Baltimore County,1420,2019,2019-1420,30941,495054,1766581,1766581
University of Maryland-College Park,1268,2019,2019-1268,97386,1558181,14157452,8375834
University of Maryland Eastern Shore,0,2019,2019-0,15862,237926,1484690,994690
Montgomery College,0,2019,2019-0,4071,61068,66287,66287
Morgan State University,1288,2019,2019-1288,29895,448419,1994485,1516486
Mount St. Mary's University,1291,2019,2019-1291,26835,429362,1879730,1879730
Notre Dame of Maryland University,0,2019,2019-0,0,0,,
Prince George's Community College,0,2019,2019-0,2339,25734,41556,41556
Salisbury University,0,2019,2019-0,4318,73401,210343,200162
St Mary's College of Maryland,0,2019,2019-0,2020,42428,261010,261010
Towson University,0,2019,2019-0,30057,420801,2112673,2112673
Stevenson University,0,2019,2019-0,4901,73508,179713,179713
Washington College,0,2019,2019-0,2445,39119,126161,126161
McDaniel College,0,2019,2019-0,1601,30423,140435,123048
American International College,0,2019,2019-0,2382,35726,651922,651922
Amherst College,0,2019,2019-0,7343,110143,418850,386644
Anna Maria College,0,2019,2019-0,1564,28152,80396,80396
Assumption College,0,2019,2019-0,3852,50075,733610,681236
Babson College,0,2019,2019-0,2863,40088,258950,258950
Becker College,0,2019,2019-0,947,13260,82464,85254
Bentley University,0,2019,2019-0,4627,55525,1048098,1044213
Boston College,1130,2019,2019-1130,88017,1584312,7033947,6611108
Boston University,1131,2019,2019-1131,25330,329294,2554475,2554475
Brandeis University,0,2019,2019-0,6582,78980,308276,308276
Bridgewater State University,0,2019,2019-0,1695,25432,134849,99348
Bristol Community College,0,2019,2019-0,2304,27646,39397,39397
Bunker Hill Community College,0,2019,2019-0,2479,37186,47192,47192
Clark University,0,2019,2019-0,3086,43209,165973,165973
Curry College,0,2019,2019-0,1904,28564,52203,52203
Dean College,0,2019,2019-0,2551,38262,56984,56984
Eastern Nazarene College,0,2019,2019-0,1391,25030,96554,96554
Emerson College,0,2019,2019-0,1851,29611,155361,150549
Emmanuel College,0,2019,2019-0,2692,48451,82505,84733
Endicott College,0,2019,2019-0,1908,34341,143661,143661
Fisher College,0,2019,2019-0,6348,82524,98167,98167
Fitchburg State University,0,2019,2019-0,1799,30587,60667,60667
Framingham State University,0,2019,2019-0,2057,32912,64814,56046
Benjamin Franklin Institute of Technology,0,2019,2019-0,2294,32121,46323,46323
Gordon College,0,2019,2019-0,903,18062,149524,149524
Hampshire College,0,2019,2019-0,419,5865,9878,9878
Harvard University,1217,2019,2019-1217,17720,372119,1407818,1407818
College of the Holy Cross,1221,2019,2019-1221,21745,304431,2170470,2170470
Holyoke Community College,0,2019,2019-0,593,5932,14852,13954
Lasell College,0,2019,2019-0,1095,20813,58366,58292
Lesley University,0,2019,2019-0,1351,14864,42864,42864
University of Massachusetts-Lowell,0,2019,2019-0,35801,465407,1868040,1868040
University of Massachusetts-Amherst,0,2019,2019-0,53025,954448,4345060,4345060
University of Massachusetts-Boston,0,2019,2019-0,1732,27710,172789,172789
Massachusetts Bay Community College,0,2019,2019-0,2242,31383,45383,45383
Massachusetts Institute of Technology,0,2019,2019-0,2619,36662,128272,128272
Massasoit Community College,0,2019,2019-0,2227,28945,38945,38945
Merrimack College,0,2019,2019-0,6980,97718,894700,894700
Newbury College,0,2019,2019-0,1582,20569,76870,76870
Nichols College,0,2019,2019-0,1903,49486,212041,208066
Massachusetts College of Liberal Arts,0,2019,2019-0,1329,25254,59403,59403
Northeastern University,1318,2019,2019-1318,35755,464820,3241890,3241890
Northern Essex Community College,0,2019,2019-0,1146,12601,25302,25193
College of Our Lady of the Elms,0,2019,2019-0,1087,19565,49237,49237
Pine Manor College,0,2019,2019-0,1435,25821,54597,54597
Quincy College,0,2019,2019-0,1824,23707,46870,46870
Quinsigamond Community College,0,2019,2019-0,1486,16350,29731,29730
Regis College,0,2019,2019-0,2011,36195,94011,94011
Roxbury Community College,0,2019,2019-0,2222,33326,75835,75835
Salem State University,0,2019,2019-0,1637,27822,49720,49720
Springfield College,0,2019,2019-0,6366,82762,259359,259359
Springfield Technical Community College,0,2019,2019-0,2334,16338,27253,27253
University of Massachusetts-Dartmouth,0,2019,2019-0,3232,48487,124400,94790
Stonehill College,0,2019,2019-0,2866,40127,918132,865161
Suffolk University,0,2019,2019-0,949,16138,74690,74690
Tufts University,0,2019,2019-0,2107,29499,203117,203117
Wentworth Institute of Technology,0,2019,2019-0,1568,29796,129549,130562
Western New England University,0,2019,2019-0,6200,86803,132051,132051
Westfield State University,0,2019,2019-0,1973,35506,105108,106054
Wheaton College,0,2019,2019-0,2955,38414,152222,152222
Williams College,0,2019,2019-0,4188,71198,173037,173037
Worcester Polytechnic Institute,0,2019,2019-0,1451,24662,327747,320239
Worcester State University,0,2019,2019-0,2216,33241,80486,75789
Adrian College,0,2019,2019-0,1451,34822,111787,111787
Albion College,0,2019,2019-0,1753,61349,209576,209576
Alma College,0,2019,2019-0,4026,96634,263580,263580
Alpena Community College,0,2019,2019-0,2411,26518,83463,83463
Andrews University,0,2019,2019-0,1299,14292,32029,32029
Aquinas College,0,2019,2019-0,3172,66618,379738,370486
Bay de Noc Community College,0,2019,2019-0,3737,52311,139893,100049
Calvin College,0,2019,2019-0,3044,45663,153719,151129
Central Michigan University,1141,2019,2019-1141,27569,496233,2098994,2098994
Mott Community College,0,2019,2019-0,3535,45950,116811,116801
Concordia University-Ann Arbor,0,2019,2019-0,3743,82346,291938,277340
Davenport University,0,2019,2019-0,5957,101267,572900,572900
Delta College,0,2019,2019-0,3004,45066,76802,76802
University of Detroit Mercy,1178,2019,2019-1178,25304,404861,2673249,2673249
Eastern Michigan University,0,2019,2019-0,20672,330755,1986042,1986042
Ferris State University,0,2019,2019-0,9687,164680,888766,767922
Glen Oaks Community College,0,2019,2019-0,1375,21993,49882,44862
Gogebic Community College,0,2019,2019-0,2102,33624,97212,93089
Grace Bible College,0,2019,2019-0,3854,53952,78318,78318
Cornerstone University,0,2019,2019-0,1266,39235,335647,335647
Grand Rapids Community College,0,2019,2019-0,3920,58794,86162,86162
Grand Valley State University,0,2019,2019-0,5367,107343,744441,753539
Great Lakes Christian College,0,2019,2019-0,1810,21714,37728,37728
Henry Ford College,0,2019,2019-0,1494,23897,55374,55374
Hope College,0,2019,2019-0,4281,64217,287096,287096
Jackson College,0,2019,2019-0,1933,27056,65689,65689
Kalamazoo College,0,2019,2019-0,1663,31589,132562,132562
Kalamazoo Valley Community College,0,2019,2019-0,1483,23726,61653,61653
Kellogg Community College,0,2019,2019-0,605,9081,40412,40412
Lake Michigan College,0,2019,2019-0,2456,29471,83260,83260
Lake Superior State University,0,2019,2019-0,5462,125633,511183,511183
Lansing Community College,0,2019,2019-0,2526,35363,166678,141463
Lawrence Technological University,0,2019,2019-0,4139,41390,345577,345577
Macomb Community College,0,2019,2019-0,2164,21644,96681,67537
Madonna University,0,2019,2019-0,1833,49504,348577,348577
Rochester College,0,2019,2019-0,3755,63836,370685,370685
University of Michigan-Ann Arbor,1276,2019,2019-1276,158372,2533954,20027574,9982947
Michigan State University,1277,2019,2019-1277,184007,2944119,21882125,11745452
Michigan Technological University,0,2019,2019-0,7928,95134,764194,764194
University of Michigan-Dearborn,0,2019,2019-0,3023,75583,144807,144807
Mid Michigan Community College,0,2019,2019-0,2817,45078,81012,75823
Muskegon Community College,0,2019,2019-0,2320,30163,62707,61480
Northern Michigan University,0,2019,2019-0,6997,118942,698037,688386
Northwood University,0,2019,2019-0,6325,113846,802270,802270
Oakland Community College,0,2019,2019-0,1387,24959,76949,76949
Oakland University,1324,2019,2019-1324,22852,365625,2480203,2336615
Olivet College,0,2019,2019-0,3370,97741,216438,216438
