institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Gateway Community College,0,2011,2011-0,1466,21997,38036,38036
Southern Connecticut State University,0,2011,2011-0,3414,40965,415212,415212
Trinity College,0,2011,2011-0,3022,33244,143841,122927
Wesleyan University,0,2011,2011-0,2108,31623,153318,128629
Western Connecticut State University,0,2011,2011-0,1912,30590,149227,149521
Yale University,1463,2011,2011-1463,9132,127843,758694,748734
Delaware Technical and Community College-Stanton-Wilmington,0,2011,2011-0,1403,15433,41220,41220
Delaware State University,1175,2011,2011-1175,18108,307828,1689936,1689461
University of Delaware,1174,2011,2011-1174,18344,256818,1565345,1663761
Goldey-Beacom College,0,2011,2011-0,3055,45820,222984,205674
Wesley College,0,2011,2011-0,2018,30263,77352,77352
Wilmington University,0,2011,2011-0,3421,61572,187334,187334
American University,1110,2011,2011-1110,13760,220167,1591888,1591888
Catholic University of America,0,2011,2011-0,3206,60914,176177,170514
University of the District of Columbia,0,2011,2011-0,3135,31352,438967,488967
Gallaudet University,0,2011,2011-0,3039,36468,153661,153661
George Washington University,1203,2011,2011-1203,22792,364676,2722829,2722829
Georgetown University,0,2011,2011-0,116296,1395554,10074618,7393234
Howard University,0,2011,2011-0,6361,108134,692907,692907
Trinity Washington University,0,2011,2011-0,0,0,,
Barry University,0,2011,2011-0,3789,53039,478038,478038
Bethune-Cookman University,0,2011,2011-0,23013,299168,1480713,1480713
Lynn University,0,2011,2011-0,5224,67908,546865,582896
Brevard Community College,0,2011,2011-0,1535,19955,150284,150284
Broward College,0,2011,2011-0,2796,39143,133102,133102
Central Florida Community College,0,2011,2011-0,2908,37804,139866,139866
Florida Christian College Inc,0,2011,2011-0,2887,37526,49624,49624
University of Central Florida,1416,2011,2011-1416,24155,386485,2279998,2134978
Chipola College,0,2011,2011-0,3554,39096,339666,339666
Clearwater Christian College,0,2011,2011-0,928,14855,14855,14855
Daytona State College,0,2011,2011-0,4324,60534,373084,373084
Eckerd College,0,2011,2011-0,2508,47647,597391,597391
Edward Waters College,0,2011,2011-0,2113,25360,154695,154695
Embry Riddle Aeronautical University-Daytona Beach,0,2011,2011-0,5874,70485,598524,632408
Florida Agricultural and Mechanical University,1197,2011,2011-1197,9255,120309,786790,786730
Florida Atlantic University,1194,2011,2011-1194,24484,342774,379745,1205402
Florida State College at Jacksonville,0,2011,2011-0,5464,76489,212860,212860
Flagler College,0,2011,2011-0,4491,58383,305696,303583
Florida College,0,2011,2011-0,1466,20530,111775,111775
Florida Institute of Technology,0,2011,2011-0,3049,39636,528111,662468
Florida International University,0,2011,2011-0,24028,432495,1384541,1560610
Florida Memorial University,0,2011,2011-0,1990,31833,141941,141941
Florida Southern College,0,2011,2011-0,4845,82366,660405,578587
Florida State University,1199,2011,2011-1199,134690,1616285,5756857,5126393
University of Florida,1196,2011,2011-1196,94686,1325602,10184136,7908661
Gulf Coast Community College,0,2011,2011-0,4658,55894,316298,316298
Hillsborough Community College,0,2011,2011-0,1765,21177,80220,80220
Indian River State College,0,2011,2011-0,2196,28548,121352,121352
Jacksonville University,0,2011,2011-0,14363,201077,1326816,1326816
State College of Florida-Manatee-Sarasota,0,2011,2011-0,2106,29486,171604,171604
Miami Dade College,0,2011,2011-0,4449,57840,339149,339149
University of Miami,1274,2011,2011-1274,67651,879457,7081121,4651481
University of North Florida,1316,2011,2011-1316,13444,188215,658882,1067122
Northwood University-Florida Education Center,0,2011,2011-0,3599,53988,473846,473846
Nova Southeastern University,0,2011,2011-0,4183,58559,401509,454222
Northwest Florida State College,0,2011,2011-0,3041,36494,271353,271353
Palm Beach Atlantic University-West Palm Beach,0,2011,2011-0,2544,38167,276484,276484
Palm Beach State College,0,2011,2011-0,2482,32268,193289,193089
Pasco-Hernando Community College,0,2011,2011-0,885,11510,124908,124908
Pensacola Junior College,0,2011,2011-0,2865,42978,215695,215695
Polk State College,0,2011,2011-0,6554,78644,143858,159276
Rollins College,0,2011,2011-0,7741,116110,674054,674054
